Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
10091u79,2017-9 LINCOLN CONTINENTAL 7 double spoke,0,,ea,,225.00,
10092u45,10092u45,0,,ea,,50.00,
10098u20,10098u20,0,,ea,,80.28,
10098u20-core,10098u20-core,0,,ea,,25.00,
10107u80,10107u80,0,,ea,,185.00,
10108,10108,0,,ea,,135.00,
10108u20,10108u20,0,,ea,,76.50,
10108u20-core,10108u20-core,0,,ea,,27.00,
10109U35,2017-18 ESCAPE 18X7.5,0,,ea,,94.00,
10109u35-core,10109u35-core,0,,ea,,45.00,
10110u78-core,10110u78-core,0,,ea,,25.00,
10111u10,10111u10,0,,ea,,165.00,
10112u45,10112u45,0,,ea,,75.74,
10113u30,10113u30,0,,ea,,175.00,
10119u78,10119u78,0,,ea,,79.00,
10119u78-core,10119u78-core,0,,ea,,25.00,
10119u78N,10119u78N,0,,ea,,219.00,
10120u30,10120u30,0,,ea,,116.50,
10120u30-core,10120u30-core,0,,ea,,62.50,
10121u35,10121u35,0,,ea,,45.00,
10121u35-core,10121u35-core,0,,ea,,45.00,
10123u77,10123u77,0,,ea,,125.00,
10129u35,10129u35,0,,ea,,89.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 3 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
10129u35-core,10129u35-core,0,,ea,,35.00,
10158u80,10158u80,0,,ea,,225.00,
10160u45,10160u45,0,,ea,,175.00,
10162u90,10162u90,0,,ea,,150.00,
10164u90,10164u90,0,,ea,,150.00,
10183u20,10183u20,0,,ea,,175.00,
10184u80,10184u80,0,,ea,,170.00,
10221u45,10221u45,0,,ea,,175.00,
10222u45,10222u45,0,,ea,,0.00,
102722500A Tesla,102722500A Tesla,0,,ea,,70.17,
102722500A Tesla-core,20x10 et35 silver,0,,ea,,51.25,
102724200A Tesla,102724200A Tesla,0,,ea,,98.00,
102724200A Tesla-Core,"20""x8"" et35",0,,ea,,48.00,
102724400A Tesla,Tesla 20x10+35 silver,0,,ea,,53.50,
102724400A Tesla-core,20x9 et35 Silver,0,,ea,,57.00,
102724500A Tesla,20x9.5 +40 Silver,0,,ea,,107.00,
102724500A Tesla-core,"20""x9.5"" et40",0,,ea,,57.00,
102724600C Tesla,102724600C Tesla,0,,ea,,98.00,
102724600C Tesla-Core,"22""x9 et35",0,,ea,,48.00,
1027246XXC Tesla,1027246XXC Tesla,0,,ea,,125.00,
1027246XXC Tesla-core,22x9 et35 Black,0,,ea,,75.00,
102724700C Tesla,22x10+35 silver,0,,ea,,98.00,
102724700C Tesla-core,22x10 +35 Silver,0,,ea,,48.00,
