Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY05183U,5,31,12.5,124.0,0,0,18,12.5,13,124.0,0,0,0,0
ALY05183U16,5,6,139.56,139.56,0,0,6,139.56,0,0,0,0,0,0
ALY05183U20,5,7,139.56,139.56,0,0,7,139.56,0,0,0,0,0,0
ALY05186U,5,24,12.5,119.0,0,0,18,12.5,6,119.0,0,0,0,0
ALY05193U,5,22,12.5,124.0,0,0,6,12.5,16,124.0,0,0,0,0
ALY05193U20,5,36,165.85,165.85,0,0,36,165.85,0,0,0,0,0,0
ALY05196U,5,92,12.5,124.0,0,0,76,12.5,16,124.0,0,0,0,0
ALY05196U20,5,79,124.0,165.85,0,0,72,165.85,7,124.0,0,0,0,0
ALY05196U20N,5,40,181.11,181.11,0,0,40,181.11,0,0,0,0,0,0
ALY05211U,5,35,12.5,119.0,0,0,19,12.5,16,119.0,0,0,0,0
ALY05214U,5,15,12.5,119.0,0,0,8,12.5,7,119.0,0,0,0,0
ALY05214U10,5,5,139.56,139.56,0,0,5,139.56,0,0,0,0,0,0
ALY05215A,5,11,12.5,12.5,0,0,11,12.5,0,0,0,0,0,0
ALY05215U,5,26,12.5,119.0,0,0,10,12.5,16,119.0,0,0,0,0
ALY05222U,5,6,12.5,12.5,0,0,6,12.5,0,0,0,0,0,0
ALY05222U20,5,14,119.0,165.85,0,0,13,165.85,1,119.0,0,0,0,0
ALY05236U85,5,6,378.24,378.24,0,0,6,378.24,0,0,0,0,0,0
ALY05248U20,5,7,139.56,139.56,0,0,7,139.56,0,0,0,0,0,0
ALY05249U,5,10,12.5,12.5,0,0,10,12.5,0,0,0,0,0,0
ALY05252U,5,10,12.5,12.5,0,0,10,12.5,0,0,0,0,0,0
ALY05254U80N,5,69,230.35,345.84,0,0,44,345.84,0,0,25,230.35,0,0
ALY05258U80N,5,13,359.91,359.91,0,0,13,359.91,0,0,0,0,0,0
ALY05261U85,5,6,378.24,378.24,0,0,6,378.24,0,0,0,0,0,0
ALY05269U,5,30,12.5,124.0,0,0,22,12.5,8,124.0,0,0,0,0
ALY05269U10,5,16,139.56,139.56,0,0,16,139.56,0,0,0,0,0,0
ALY05274U80,4,4,199.48,199.48,0,0,4,199.48,0,0,0,0,0,0
ALY05277U86N,5,204,278.2,278.2,0,0,204,278.2,0,0,0,0,0,0
ALY05278A,5,26,12.5,139.0,0,0,10,12.5,16,139.0,0,0,0,0
ALY05278A10,5,5,139.56,139.56,0,0,5,139.56,0,0,0,0,0,0
ALY05280U,5,51,12.5,152.0,0,0,35,12.5,16,152.0,0,0,0,0
ALY05280U10,5,10,165.85,165.85,0,0,10,165.85,0,0,0,0,0,0
ALY05280U16,5,8,165.85,165.85,0,0,8,165.85,0,0,0,0,0,0
ALY05280U20,5,6,165.85,165.85,0,0,6,165.85,0,0,0,0,0,0
ALY05280U20N,5,48,144.06,203.0,0,0,43,203.0,0,0,5,144.06,0,0
ALY05282U,5,26,12.5,211.0,0,0,13,12.5,13,211.0,0,0,0,0
ALY05282U10,5,9,229.65,229.65,0,0,9,229.65,0,0,0,0,0,0
ALY05291U10N,5,44,220.13,242.63,0,0,19,242.63,0,0,25,220.13,0,0
ALY05292U,5,13,12.5,12.5,0,0,13,12.5,0,0,0,0,0,0
ALY05293U10N,5,67,223.29,223.29,0,0,67,223.29,0,0,0,0,0,0
ALY05294U,5,17,12.5,12.5,0,0,17,12.5,0,0,0,0,0,0
ALY05294U10,5,9,139.56,139.56,0,0,9,139.56,0,0,0,0,0,0
ALY05295U,5,21,12.5,124.0,0,0,14,12.5,7,124.0,0,0,0,0
ALY05295U10,5,28,139.56,139.56,0,0,28,139.56,0,0,0,0,0,0
ALY05295U10N,5,23,211.5,211.5,0,0,23,211.5,0,0,0,0,0,0
ALY05296U,5,15,12.5,12.5,0,0,15,12.5,0,0,0,0,0,0
ALY05296U10,5,47,165.85,165.85,0,0,47,165.85,0,0,0,0,0,0
ALY05299U,5,212,12.5,124.0,0,0,196,12.5,16,124.0,0,0,0,0
ALY05299U10,5,121,165.85,165.85,0,0,121,165.85,0,0,0,0,0,0
ALY05299U10N,5,306,209.24,209.24,0,0,306,209.24,0,0,0,0,0,0
ALY05300U,5,224,12.5,124.0,0,0,208,12.5,16,124.0,0,0,0,0
ALY05300U10,5,96,165.85,165.85,0,0,96,165.85,0,0,0,0,0,0
ALY05300U10N,5,112,233.83,244.77,0,0,87,233.83,0,0,25,244.77,0,0
ALY05300U15,5,25,165.85,165.85,0,0,25,165.85,0,0,0,0,0,0
